run_id,frame_num,frame_processing_time,predicted_track_id,px,py,pw,ph,prediction_score,gt_track_id,gx,gy,gw,gh
# Video Sequence 1, Run 1
1,1,30,10,10,10,20,30,0.9,100,10,10,20,30
1,1,30,11,50,50,25,25,0.8,101,50,50,25,25
1,2,32,10,12,12,20,30,0.92,100,12,12,20,30
1,2,32,11,52,52,25,25,0.81,,,,, # GT 101 disappears, PRED 11 continues
1,3,31,10,15,15,20,30,0.88,100,15,15,20,30 # PRED 10 continues GT 100
1,3,31,,,,,102,200,200,20,20 # GT 102 appears, PRED for it is missed
# Video Sequence 1, Run 2 (e.g. model retrained or params tweaked)
2,1,33,20,11,11,20,30,0.89,100,10,10,20,30 # PRED ID changed for same GT object
2,1,33,21,51,51,25,25,0.82,101,50,50,25,25
2,2,35,20,13,13,20,30,0.91,100,12,12,20,30
2,2,35,21,53,53,25,25,0.79,,,,,
2,3,34,20,16,16,20,30,0.87,100,15,15,20,30
2,3,34,22,200,200,20,20,0.90,102,200,200,20,20 # PRED 22 now detects GT 102
